zone_id,community
4,17
7,17
8,17
1,17
2,17
9,17
10,17
11,17
12,17
13,17
14,17
15,17
16,17
17,17
19,17
21,17
22,17
24,17
25,17
26,17
27,17
28,17
29,17
30,17
33,17
34,17
35,17
36,17
37,17
38,17
39,17
40,17
41,17
42,17
43,17
45,17
48,17
49,17
50,17
52,17
53,17
54,17
55,17
56,17
57,17
61,17
62,17
63,17
64,17
65,17
66,17
67,17
68,17
70,17
71,17
72,17
73,17
74,17
75,17
76,17
77,17
79,17
80,17
82,17
83,17
85,17
86,17
87,17
88,17
89,17
90,17
91,17
92,17
93,17
95,17
96,17
97,17
98,17
100,17
101,17
102,17
105,17
106,17
107,17
108,17
111,17
112,17
113,17
114,17
116,17
117,17
120,17
121,17
122,17
123,17
124,17
125,17
129,17
130,17
131,17
132,17
133,17
134,17
135,17
137,17
138,17
139,17
140,17
141,17
142,17
143,17
144,17
145,17
146,17
148,17
149,17
150,17
151,17
152,17
154,17
155,17
157,17
158,17
159,17
160,17
161,17
162,17
163,17
164,17
165,17
166,17
168,17
170,17
171,17
173,17
175,17
176,17
177,17
178,17
179,17
180,17
181,17
186,17
188,17
189,17
190,17
191,17
192,17
193,17
194,17
195,17
196,17
197,17
198,17
199,17
201,17
202,17
203,17
205,17
207,17
209,17
210,17
211,17
215,17
216,17
217,17
218,17
219,17
222,17
223,17
224,17
225,17
226,17
227,17
228,17
229,17
230,17
231,17
232,17
233,17
234,17
236,17
237,17
238,17
239,17
244,17
246,17
247,17
249,17
252,17
253,17
255,17
256,17
257,17
258,17
260,17
261,17
262,17
263,17
3,23
18,23
20,23
31,23
32,23
46,23
47,23
51,23
58,23
59,23
60,23
69,23
78,23
81,23
94,23
119,23
126,23
127,23
128,23
136,23
147,23
153,23
167,23
169,23
174,23
182,23
183,23
184,23
185,23
200,23
208,23
212,23
213,23
220,23
235,23
240,23
241,23
242,23
243,23
248,23
250,23
254,23
259,23
5,104
23,104
44,104
99,104
156,104
204,104
6,123
109,123
115,123
118,123
172,123
187,123
206,123
214,123
221,123
245,123
251,123